ticker,epochs_trained,train_r2,train_rmse,train_mae,train_dir_acc,val_r2,val_rmse,val_mae,val_dir_acc,test_r2,test_rmse,test_mae,test_dir_acc,final_train_loss,final_val_loss,best_val_loss,training_time_sec,latest_date,forecast_return
WAT,17,0.4471646267410261,0.058707083719300036,0.044902383973362006,76.47395535203205,-0.26717729745677676,0.10123295727254254,0.081771815258399,44.03669724770643,-0.284477693755953,0.10979625259374663,0.08451482778812595,46.118721461187214,0.11764012277126312,1.017709732055664,0.979197084903717,17.851965188980103,2026-01-16,4.440844
TWLO,17,0.34174179603868027,0.14105850185928456,0.10279942500298868,72.50300842358605,-0.40991771350466855,0.19050727884697471,0.14714638604976338,38.64734299516908,-0.36172719242419227,0.1605921884828917,0.13380075898710841,45.933014354066984,0.1694653481245041,1.4074290990829468,1.0205951929092407,18.698864936828613,2026-01-16,-6.1942873
HBAN,16,0.2217716574170584,0.0903058058555278,0.06019592607295953,69.97134670487107,-0.07894892950353039,0.07765166544241754,0.0628630400277804,55.76036866359447,-0.19254739064384085,0.09611129165854707,0.0795644166689187,45.87155963302752,0.18309286236763,0.8620578050613403,0.7318841814994812,12.849948644638062,2026-01-16,-3.2171905
DLR,19,0.626768878299752,0.04379606536050604,0.03388134643753555,81.33943903835146,-0.23209328638532867,0.06692634668289665,0.05407648203295217,65.13761467889908,-0.25124300541887856,0.07544905493653532,0.06183976201176828,45.662100456621005,0.13884569704532623,0.8899697661399841,0.6436641812324524,20.432185649871826,2026-01-16,3.0531168
TSCO,21,0.7818405880403663,0.03750322185053938,0.0291092475730994,87.39977090492555,-0.12347600788048174,0.05932910075128177,0.048018536856694494,66.05504587155964,-1.2840301772330873,0.09310527736880254,0.07888180719031902,45.20547945205479,0.12124084681272507,0.6045495271682739,0.476777583360672,20.152676343917847,2026-01-16,8.190334
IQV,29,0.8868957278207826,0.030314554983958495,0.022123148535156904,87.17067583046965,-0.20011723960351468,0.06922994021615311,0.05835239046328164,64.22018348623854,-1.5167965581001255,0.165661661068034,0.12814551369718952,44.74885844748858,0.1382371485233307,0.7117129564285278,0.5979257822036743,26.78793454170227,2026-01-16,6.8791986
DECK,16,0.1661049712476439,0.09949834231965736,0.07331872989494574,67.60160274756726,0.07961373564227625,0.1418721975057892,0.10046457979448835,57.3394495412844,-0.30816114635788927,0.16947642840120572,0.14179672684228747,44.74885844748858,0.18925119936466217,0.9880673289299011,0.6524626016616821,16.378809213638306,2026-01-16,3.4577847
A,18,0.390521737575353,0.056448913652798874,0.04293737983786383,75.37227949599084,0.03663011407412042,0.071780096029644,0.060060251560236005,55.96330275229357,-0.23604928669762892,0.09767384577088915,0.08058278651111034,44.74885844748858,0.14936307072639465,0.7665433287620544,0.6994122266769409,11.348042726516724,2026-01-16,2.6563883
NFLX,18,0.49423315809841695,0.09515039950849073,0.06248374165639812,78.64911276473954,-0.28159882039083906,0.0913352521364062,0.06780522151518058,61.46788990825688,-0.9161057909485921,0.13288215847962162,0.10759727741798539,44.74885844748858,0.17054755985736847,0.8664502501487732,0.5984579920768738,20.99986219406128,2026-01-16,-7.769698
PEG,19,0.710572544951009,0.033697631977999326,0.023482754727617083,82.97994269340975,-0.6395836059201925,0.06882305701246132,0.0557404582331789,26.146788990825687,-2.120938778044196,0.06758131377081386,0.057538262232080424,44.74885844748858,0.1534319818019867,1.263770580291748,1.0615336894989014,25.811938047409058,2026-01-16,7.306719
